State,ScAlabamaeBArkansas,text,yeArkansas,month
Virginia,1.363636364,VA: 1.4,2018,9
Vermont,-0.25,VT: -0.2,2018,9
Washington,-1.464285714,WA: -1.5,2018,9
Wisconsin,0.441176471,WI: 0.4,2018,9
West Virginia,1.714285714,WV: 1.7,2018,9
Wyoming,-0.666666667,WY: -0.7,2018,9
Alaska,0.2,Alaska: 0.2,2018,10
Alabama,-1,Alabama: -1.0,2018,10
Arkansas,1,Arkansas: 1.0,2018,10
Arizona,-0.6,Arizona: -0.6,2018,10
California,-1.038461538,CA: -1.0,2018,10
CAN,0.038961039,CAN: 0.0,2018,10
Colorado,-1.87037037,CO: -1.9,2018,10
Connecticut,1.625,CT: 1.6,2018,10
Delaware,0,DE: 0.0,2018,10
Florida,-0.387096774,FL: -0.4,2018,10
Georgia,0,GA: 0.0,2018,10
Iowa,1.142857143,IA: 1.1,2018,10
Idaho,-0.625,ID: -0.6,2018,10
Illinois,0.152542373,IL: 0.2,2018,10
Indiana,-0.045454545,IN: -0.0,2018,10
Kansas,0.833333333,KS: 0.8,2018,10
Kentucky,0.333333333,KY: 0.3,2018,10
Louisiana,0.25,LA: 0.2,2018,10
Massachusetts,0.615384615,MA: 0.6,2018,10
Maryland,1.777777778,MD: 1.8,2018,10
Maine,0,ME: 0.0,2018,10
Michigan,1.068965517,MI: 1.1,2018,10
Minnesota,0.777777778,MN: 0.8,2018,10
Missouri,0.15,MO: 0.1,2018,10
Mississippi,0.6,MS: 0.6,2018,10
Montana,-0.2,MT: -0.2,2018,10
North Carolina,0.474576271,NC: 0.5,2018,10
North Dakota,0.75,ND: 0.8,2018,10
Nebraska,0.25,NE: 0.2,2018,10
New Hampshire,0.2,NH: 0.2,2018,10
New Jersey,1.181818182,NJ: 1.2,2018,10
New Mexico,-1.175438596,NM: -1.2,2018,10
Nevada,-0.6,NV: -0.6,2018,10
New York,1.046153846,NY: 1.0,2018,10
Ohio,0.333333333,OH: 0.3,2018,10
Oklahoma,1.5,OK: 1.5,2018,10
Oregon,-1.096774194,OR: -1.1,2018,10
Pennsylvania,2.142857143,PA: 2.1,2018,10
Rhode Island,0.571428571,RI: 0.6,2018,10
South Carolina,0.03030303,SC: 0.0,2018,10
South Dakota,-2.333333333,SD: -2.3,2018,10
Tennessee,0.285714286,TN: 0.3,2018,10
Texas,1.519480519,TX: 1.5,2018,10
Utah,-2.25,UT: -2.2,2018,10
Virginia,1.208333333,VA: 1.2,2018,10
Vermont,-0.5,VT: -0.5,2018,10
Washington,-0.133333333,WA: -0.1,2018,10
Wisconsin,1,WI: 1.0,2018,10
West Virginia,1,WV: 1.0,2018,10
Wyoming,0.125,WY: 0.1,2018,10
Alaska,0.142857143,Alaska: 0.1,2018,11
Alabama,-0.333333333,Alabama: -0.3,2018,11
Arkansas,0,Arkansas: 0.0,2018,11
Arizona,-0.714285714,Arizona: -0.7,2018,11
California,-1.653846154,CA: -1.7,2018,11
CAN,0.24,CAN: 0.2,2018,11
Colorado,-1.720930233,CO: -1.7,2018,11
Connecticut,1.666666667,CT: 1.7,2018,11
Delaware,1.2,DE: 1.2,2018,11
Florida,-1.166666667,FL: -1.2,2018,11
Georgia,0.333333333,GA: 0.3,2018,11
Iowa,0.75,IA: 0.8,2018,11
Idaho,-0.5,ID: -0.5,2018,11
Illinois,0.591836735,IL: 0.6,2018,11
Indiana,0.852941176,IN: 0.9,2018,11
Kansas,0.130434783,KS: 0.1,2018,11
Kentucky,0.888888889,KY: 0.9,2018,11
Louisiana,1,LA: 1.0,2018,11
Massachusetts,1.333333333,MA: 1.3,2018,11
Maryland,2.181818182,MD: 2.2,2018,11
Maine,0.6,ME: 0.6,2018,11
Michigan,1.28,MI: 1.3,2018,11
Minnesota,0.285714286,MN: 0.3,2018,11
Missouri,0.666666667,MO: 0.7,2018,11
Mississippi,1.333333333,MS: 1.3,2018,11
Montana,1,MT: 1.0,2018,11
North Carolina,1.030769231,NC: 1.0,2018,11
North Dakota,0.75,ND: 0.8,2018,11
Nebraska,0,NE: 0.0,2018,11
New Hampshire,1.272727273,NH: 1.3,2018,11
New Jersey,1.333333333,NJ: 1.3,2018,11
New Mexico,-0.829787234,NM: -0.8,2018,11
Nevada,-1.5,NV: -1.5,2018,11
New York,1.189655172,NY: 1.2,2018,11
Ohio,1.785714286,OH: 1.8,2018,11
Oklahoma,1.25,OK: 1.2,2018,11
Oregon,-0.807692308,OR: -0.8,2018,11
Pennsylvania,2.038461538,PA: 2.0,2018,11
Rhode Island,1.714285714,RI: 1.7,2018,11
South Carolina,0.975,SC: 1.0,2018,11
Tennessee,1.571428571,TN: 1.6,2018,11
Texas,1.053333333,TX: 1.1,2018,11
Utah,-2.5,UT: -2.5,2018,11
Virginia,1.291666667,VA: 1.3,2018,11
Vermont,0.6,VT: 0.6,2018,11
Washington,0.470588235,WA: 0.5,2018,11
Wisconsin,0.642857143,WI: 0.6,2018,11
West Virginia,1.833333333,WV: 1.8,2018,11
Wyoming,0,WY: 0.0,2018,11
Alaska,0,Alaska: 0.0,2018,12
Alabama,2,Alabama: 2.0,2018,12
Arkansas,-1,Arkansas: -1.0,2018,12
Arizona,-1,Arizona: -1.0,2018,12
California,0.652173913,CA: 0.7,2018,12
CAN,-0.175,CAN: -0.2,2018,12
Colorado,-1.944444444,CO: -1.9,2018,12
Connecticut,1.722222222,CT: 1.7,2018,12
Delaware,1,DE: 1.0,2018,12
Florida,-0.870967742,FL: -0.9,2018,12
Georgia,1.461538462,GA: 1.5,2018,12
Iowa,0.875,IA: 0.9,2018,12
Idaho,0,ID: 0.0,2018,12
Illinois,0.604651163,IL: 0.6,2018,12
Indiana,0.958333333,IN: 1.0,2018,12
Kansas,0.476190476,KS: 0.5,2018,12
Kentucky,0.9,KY: 0.9,2018,12
Louisiana,1.2,LA: 1.2,2018,12
Massachusetts,0.75,MA: 0.8,2018,12
Maryland,1.9,MD: 1.9,2018,12
Maine,0.195652174,ME: 0.2,2018,12
Michigan,0.574074074,MI: 0.6,2018,12
Minnesota,-0.066666667,MN: -0.1,2018,12
Missouri,0.80952381,MO: 0.8,2018,12
Mississippi,2.272727273,MS: 2.3,2018,12
Montana,-0.166666667,MT: -0.2,2018,12
North Carolina,1.777777778,NC: 1.8,2018,12
North Dakota,0,ND: 0.0,2018,12
Nebraska,0.4,NE: 0.4,2018,12
New Hampshire,0.625,NH: 0.6,2018,12
New Jersey,1.7,NJ: 1.7,2018,12
